indicator_id,sector,indicator_desc,variable,tooltip,returnee,,,,,,,,,,,ind,
g54_vi,Protection,Movement restrictions unrelated to COVID-19 - road blocks,% of households experiencing daytime movement restrictions unrelated to COVID-19 - physical road blocks,% of households experiencing daytime <br>movement restrictions unrelated to COVID-19<br> - needing clearance,y,,,,,,,,,,,g54_iii,g54_iii
g54,Access and safety,Movement restrictions unrelated to COVID-19,% households experiencing daytime movement restrictions unrelated to COVID-19,% of households experiencing daytime movement restrictions unrelated to COVID-19,y,,,,,,,,,,,g54_v,g54_v
g54_i,Access and safety,Movement restrictions unrelated to COVID-19 - needing clearance,% of households experiencing daytime movement restrictions unrelated to COVID-19 - needing to obtain security clearance / coupons,% of households experiencing daytime movement restrictions unrelated to COVID-19,y,,,,,,,,,,,g54_vi,g54_vi
g54_ii,Access and safety,Movement restrictions unrelated to COVID-19 - showing ID,% of households experiencing daytime movement restrictions unrelated to COVID-19 - needing to show ID documents to civilian authorities or security actors,% of households experiencing daytime movement restrictions unrelated to COVID-19,y,,,,,,,,,,,c9,c9
g54_iii,Access and safety,Movement restrictions unrelated to COVID-19 - time,% of households experiencing daytime movement restrictions unrelated to COVID-19 - time restrictions on when to leave and return,% of households experiencing daytime movement restrictions unrelated to COVID-19,y,,,,,,,,,,,g61,g61
g54_v,Access and safety,Movement restrictions unrelated to COVID-19 - specific reason,"% of households experiencing daytime movement restrictions unrelated to COVID-19 - needing to provide a specific reason for movement (employment, medical, school)",% of households experiencing daytime movement restrictions unrelated to COVID-19,y,,,,,,,,,,,g62_i,g62_i
g54_vi,Access and safety,Movement restrictions unrelated to COVID-19 - road blocks,% of households experiencing daytime movement restrictions unrelated to COVID-19 - physical road blocks,% of households experiencing daytime movement restrictions unrelated to COVID-19,y,,,,,,,,,,,g62_ii,g62_ii
c9,Protection,Access constraints for people with disabilities,% households with members unable to access one or more services due to disability,% of households reporting members <br>unable to access one or more services<br> due to disability,y,,,,,,,,,,,g63,g63
g61,Protection,Security incidents,% of households that have suffered incidents affecting households members in the last 30 days,% of households reporting suffering<br> incidents affecting households members <br>in the last 30 days,y,,,,,,,,,,,g51,g51
g62_i,Protection - GBV ,Security incidents affecting male members,% of households that have suffered safety or security incidents affecting male household members in the last 30 days,% of households reporting suffering<br> safety or security incidents affecting male<br> household members in the last 30 days,y,,,,,,,,,,,g51b,g51b
g62_ii,Protection - GBV ,Security incidents affecting female members,% of households that have suffered safety or security incidents affecting female household members in the last 30 days,% of households reporting suffering<br> safety or security incidents affecting female<br> household members in the last 30 days,y,,,,,,,,,,,a12,a12
g63,Protection - GBV ,Women/girls avoiding areas,% of households where women and girls who avoid areas because they feel unsafe there,% of households where women and girls who avoid areas because they feel unsafe there,y,,,,,,,,,,,a12,a12
g51,Protection,Missing documents,% households missing at least one key household or individual document ,% of households reporting missing <br>at least one key household or individual <br>document ,y,,,,,,,,,,,a12,a12
g51b,Protection - CP,Missing documents - child,% of households with at least one child missing a key individual document,% of households with at least<br> one child missing a key individual<br> document,y,,,,,,,,,,,g53a,g53a
a12,Household Profile,Child marriage,% of households with presence of child marriage,% of households reporting<br> presence of child marriage,y,,,,,,,,,,,g53b_i,g53b_i
a12,Protection - CP,Child marriage,% of households with presence of child marriage,% of households reporting<br> presence of child marriage,y,,,,,,,,,,,g53b_ii,g53b_ii
a12,Protection - GBV ,Child marriage,% of households with presence of child marriage,% of households reporting<br> presence of child marriage,y,,,,,,,,,,,g53b_iii,g53b_iii
g53a,Protection - CP,child not residing in household,% of households with at least one child under 18 currently not residing in the households,% of households reporting at least <br>one child under 18 currently not residing<br> in the households,y,,,,,,,,,,,g53b_iv,g53b_iv
g53b_i,Protection - CP,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",Married and left the house,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",y,,,,,,,,,,,g53b_v,g53b_v
g53b_ii,Protection - CP,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",Left the house to seek employment,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",y,,,,,,,,,,,g53b_vi,g53b_vi
g53b_iii,Protection - CP,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",Left the house to study,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",y,,,,,,,,,,,g53b_vii,g53b_vii
g53b_iv,Protection - CP,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",Staying with relatives or friends,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",y,,,,,,,,,,,g52,g52
g53b_v,Protection - CP,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",Left the house to engage with the army or armed groups,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",y,,,,,,,,,,,a22,#N/A
g53b_vi,Protection - CP,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",Kidnapped/abducted,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",y,,,,,,,,,,,a24,#N/A
g53b_vii,Protection - CP,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",Missing (left and no news),"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households)",y,,,,,,,,,,,a25,#N/A
g52,Protection - CP,% of households using violent disciplinary measures against their children,,% of households using violent disciplinary measures against their children,y,,,,,,,,,,,a29,#N/A
a28,Intentions,% of returnee households that intend to remain in their current location for the next twelve months,,% of returnee households that intend to remain in their current location for the next twelve months,y,,,,,,,,,,,a26_i,#N/A
g74,Protection - MA,"% of households where at least one member has received any information, education or training about the risk of explosive ordnance",,"% of households where at least one member has received any information, education or training about the risk of explosive ordnance",y,,,,,,,,,,,a26_ii,#N/A
f7,Durable solutions,Property compensation,% of households who have received property compensation,% of households reporting <br>receiving property compensation,y,,,,,,,,,,,a26_iii,#N/A
f7,Protection - HLP,Property compensation,% of households who have received property compensation,% of households who have received property compensation,y,,,,,,,,,,,a26_iv,#N/A
f7b,Durable solutions,Complaint mechanisms,% of households with access/knowledge of complaint mechanisms,% of households with access/knowledge of complaint mechanisms,y,,,,,,,,,,,a26_xv,#N/A
f7b,Protection - HLP,Complaint mechanisms,% of households with access/knowledge of complaint mechanisms,% of households with access/knowledge of complaint mechanisms,y,,,,,,,,,,,a26_v,#N/A
d1_ii,AAP,Information needs and preferences from aid providers - what  ,Safety and security,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_vi,#N/A
d1_iii,AAP,Information needs and preferences from aid providers - what  ,Status of housing,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_vii,#N/A
d1_iv,AAP,Information needs and preferences from aid providers - what  ,Livelihoods,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_viii,#N/A
d1_v,AAP,Information needs and preferences from aid providers - what  ,Water services,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_ix,#N/A
d1_vi,AAP,Information needs and preferences from aid providers - what  ,Electricity services,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_x,#N/A
d1_vii,AAP,Information needs and preferences from aid providers - what  ,Education,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_xi,#N/A
d1_viii,AAP,Information needs and preferences from aid providers - what  ,Healthcare,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_xii,#N/A
d1_i,AAP,Information needs and preferences from aid providers - what  ,Humanitarian assistance,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_xiii,#N/A
d1_ix,AAP,Information needs and preferences from aid providers - what  ,Legal services,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a26_xiv,#N/A
d1_x,AAP,Information needs and preferences from aid providers - what  ,"House, land and property services",Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a15_i,#N/A
d1_xi,AAP,Information needs and preferences from aid providers - what  ,"Explosive hazards clearance (mines, bombs, IEDs)",Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a15_ii,#N/A
d1_xii,AAP,Information needs and preferences from aid providers - what  ,Renewing official documentation,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a15_iii,#N/A
d1_xiii,AAP,Information needs and preferences from aid providers - what  ,I do not want to receive information,Information needs and preferences from aid providers - what  ,y,,,,,,,,,,,a15_iv,#N/A
d2_ii,AAP,IDPs Information needs and preferences from aid providers - who/where,Friends and family living in the AoO,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_v,#N/A
d2_iii,AAP,IDPs Information needs and preferences from aid providers - who/where,Friends and family that visited the AoO in the past 30 days,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xiv,#N/A
d2_iv,AAP,IDPs Information needs and preferences from aid providers - who/where,Friends and family that have not been in the AoO,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_vi,#N/A
d2_v,AAP,IDPs Information needs and preferences from aid providers - who/where,Local authorities,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_vii,#N/A
d2_vi,AAP,IDPs Information needs and preferences from aid providers - who/where,National authorities,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_viii,#N/A
d2_i,AAP,IDPs Information needs and preferences from aid providers - who/where,NGO&humanitarian actors,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_ix,#N/A
d2_vii,AAP,IDPs Information needs and preferences from aid providers - who/where,Religious leaders,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_x,#N/A
d2_viii,AAP,IDPs Information needs and preferences from aid providers - who/where,Mukhtars,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xiii,#N/A
d2_ix,AAP,IDPs Information needs and preferences from aid providers - who/where,Sector leaders,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xii,#N/A
d2_x,AAP,IDPs Information needs and preferences from aid providers - who/where,Schools and community centres,IDPs Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xi,#N/A
d8_i,AAP,Returnees Information needs and preferences from aid providers - who/where,Friends,Returnees Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xv,#N/A
d8_ii,AAP,Returnees Information needs and preferences from aid providers - who/where,Local Authorities,Returnees Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xvi,#N/A
d8_iii,AAP,Returnees Information needs and preferences from aid providers - who/where,Mukhtars,Returnees Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xvii,#N/A
d8_iv,AAP,Returnees Information needs and preferences from aid providers - who/where,National Authorities,Returnees Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xviii,#N/A
d8_v,AAP,Returnees Information needs and preferences from aid providers - who/where,NGO&humanitarian actors,Returnees Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xix,#N/A
d8_vi,AAP,Returnees Information needs and preferences from aid providers - who/where,Religious leaders,Returnees Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xx,#N/A
d8_vii,AAP,Returnees Information needs and preferences from aid providers - who/where,Schools and community centres,Returnees Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xxi,#N/A
d8_viii,AAP,Returnees Information needs and preferences from aid providers - who/where,Sector leaders,Returnees Information needs and preferences from aid providers - who/where,y,,,,,,,,,,,a15_xxii,#N/A
d3_ii,AAP,Information needs and preferences from aid providers - means,Direct observation,Information needs and preferences from aid providers - means,y,,,,,,,,,,,a15_xxiii,#N/A
d3_iii,AAP,Information needs and preferences from aid providers - means,Face-to-face communication (e.g. from friends),Information needs and preferences from aid providers - means,y,,,,,,,,,,,a15_xxiv,#N/A
d3_iv,AAP,Information needs and preferences from aid providers - means,Television,Information needs and preferences from aid providers - means,y,,,,,,,,,,,g67,#N/A
d3_v,AAP,Information needs and preferences from aid providers - means,Telephone/mobile phone (Voice call),Information needs and preferences from aid providers - means,y,,,,,,,,,,,g73,#N/A
d3_i,AAP,Information needs and preferences from aid providers - means,Mobile phone (text SMS),Information needs and preferences from aid providers - means,y,,,,,,,,,,,g73,#N/A
d3_vi,AAP,Information needs and preferences from aid providers - means,Facebook (app),Information needs and preferences from aid providers - means,y,,,,,,,,,,,g74,g74
d3_vii,AAP,Information needs and preferences from aid providers - means,Facebook (messenger),Information needs and preferences from aid providers - means,y,,,,,,,,,,,f7,f7
d3_viii,AAP,Information needs and preferences from aid providers - means,Whatsapp,Information needs and preferences from aid providers - means,y,,,,,,,,,,,f7,f7
d3_ix,AAP,Information needs and preferences from aid providers - means,Viber,Information needs and preferences from aid providers - means,y,,,,,,,,,,,f7b,f7b
d3_x,AAP,Information needs and preferences from aid providers - means,"Other social networks (Skype, instagram, twitter)",Information needs and preferences from aid providers - means,y,,,,,,,,,,,f7b,f7b
d3_xi,AAP,Information needs and preferences from aid providers - means,Notice boards and posters,Information needs and preferences from aid providers - means,y,,,,,,,,,,,d1_ii,d1_ii
d3_xii,AAP,Information needs and preferences from aid providers - means,Newspapers and magazines,Information needs and preferences from aid providers - means,y,,,,,,,,,,,d1_iii,d1_iii
d3_xiii,AAP,Information needs and preferences from aid providers - means,Printed leaflet,Information needs and preferences from aid providers - means,y,,,,,,,,,,,d1_iv,d1_iv
d3_xiv,AAP,Information needs and preferences from aid providers - means,Loud speakers,Information needs and preferences from aid providers - means,y,,,,,,,,,,,d1_v,d1_v
d3_xv,AAP,Information needs and preferences from aid providers - means,Radio,Information needs and preferences from aid providers - means,y,,,,,,,,,,,d1_vi,d1_vi
d4,AAP,% households reporting to have received aid in the past 30 days,,% of households reporting to have received aid in the past 30 days,y,,,,,,,,,,,d1_vii,d1_vii
d5_i,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Cash,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d1_viii,d1_viii
d5_ii,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Food,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d1_i,d1_i
d5_iii,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Water,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d1_ix,d1_ix
d5_iv,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Fuel,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d1_x,d1_x
d5_v,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Shelter,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d1_xi,d1_xi
d5_vi,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Seasonal items,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d1_xii,d1_xii
d5_vii,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Health services,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d1_xiii,d1_xiii
d5_viii,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Other non-food items,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d2_ii,d2_ii
d5_ix,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Education Services,% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d2_iii,d2_iii
d5_x,AAP,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),Protection services (legal assistance; psycho-social support; GBV services; child protection services; explosive hazard risk education),% of households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d2_iv,d2_iv
d6,AAP,% households satsified with aid received (as a percentage of households that reported having received aid in the past 30 days),,% of households satsified with aid received (as a percentage of households that reported having received aid in the past 30 days),y,,,,,,,,,,,d2_v,d2_v
d7,AAP,% households not satsified with quantity, (as a percentage of households that reported having received aid in the past 30 days),% of households not satsified with quantity of aid,y,,,,,,,,,,,d2_vi,d2_vi
d10,AAP,% households not satisified with aid worker behavior, (as a percentage of households that reported having received aid in the past 30 days),% of households not satisified with aid worker behavior,y,,,,,,,,,,,d2_i,d2_i
d12,AAP,% households with access/knowledge of complaint mechanisms, (as a percentage of households that reported having received aid in the past 30 days),% of households with access/knowledge of complaint mechanisms,y,,,,,,,,,,,d2_vii,d2_vii
d15,AAP,COVID-19 prevention measures,% of households reporting needing more information about COVID-19 prevention measures,% of households reported needing more<br> information about COVID-19 prevention<br> measures,y,,,,,,,,,,,d2_viii,d2_viii
,,,,,,,,,,,,,,,,d2_ix,d2_ix
,,,,,,,,,,,,,,,,d2_x,d2_x
,,,,,,,,,,,,,,,,d3_ii,d3_ii
,,,,,,,,,,,,,,,,d3_iii,d3_iii
,,,,,,,,,,,,,,,,d3_iv,d3_iv
,,,,,,,,,,,,,,,,d3_v,d3_v
,,,,,,,,,,,,,,,,d3_i,d3_i
,,,,,,,,,,,,,,,,d3_vi,d3_vi
,,,,,,,,,,,,,,,,d3_vii,d3_vii
,,,,,,,,,,,,,,,,d3_viii,d3_viii
,,,,,,,,,,,,,,,,d3_ix,d3_ix
,,,,,,,,,,,,,,,,d3_x,d3_x
,,,,,,,,,,,,,,,,d3_xi,d3_xi
,,,,,,,,,,,,,,,,d3_xii,d3_xii
,,,,,,,,,,,,,,,,d3_xiii,d3_xiii
,,,,,,,,,,,,,,,,d3_xiv,d3_xiv
,,,,,,,,,,,,,,,,d3_xv,d3_xv
,,,,,,,,,,,,,,,,d4,d4
,,,,,,,,,,,,,,,,d5_i,d5_i
,,,,,,,,,,,,,,,,d5_ii,d5_ii
,,,,,,,,,,,,,,,,d5_iii,d5_iii
,,,,,,,,,,,,,,,,d5_iv,d5_iv
,,,,,,,,,,,,,,,,d5_v,d5_v
,,,,,,,,,,,,,,,,d5_vi,d5_vi
,,,,,,,,,,,,,,,,d5_vii,d5_vii
,,,,,,,,,,,,,,,,d5_viii,d5_viii
,,,,,,,,,,,,,,,,d5_ix,d5_ix
,,,,,,,,,,,,,,,,d5_x,d5_x
,,,,,,,,,,,,,,,,d6,d6
,,,,,,,,,,,,,,,,d7,d7
,,,,,,,,,,,,,,,,d10,d10
,,,,,,,,,,,,,,,,d12,d12
,,,,,,,,,,,,,,,,d15,d15
