indicator_id,sector,indicator_desc,variable,percent
a15_xx,Intentions,% of IDP HHs that currently don't intend to return to their AoO due to [insert response option],Children enrolled at school in the area of displacement,yes
a15_xxi,Intentions,% of IDP HHs that currently don't intend to return to their AoO due to [insert response option],Living conditions are better in the area of displacement,yes
a15_xxii,Intentions,% of IDP HHs that currently don't intend to return to their AoO due to [insert response option],Other,yes
a15_xxiii,Intentions,% of IDP HHs that currently don't intend to return to their AoO due to [insert response option],Do not know,yes
a15_xxiv,Intentions,% of IDP HHs that currently don't intend to return to their AoO due to [insert response option],Decline to answer,yes
g67,Intentions,"% of IDP HHs not intending to return due to HLP issues (damage/destruction, secondary occupation or unresolved HLP ownership issues)","% of IDP HHs not intending to return due to HLP issues (damage/destruction, secondary occupation or unresolved HLP ownership issues)",yes
g73,Intentions,% of IDP HHs not intending to return to their AoO due to explosive ordnance contamination,% of IDP HHs not intending to return to their AoO due to explosive ordnance contamination,yes
g73,Protection MA,% of IDP HHs not intending to return to their AoO due to explosive ordnance contamination,% of IDP HHs not intending to return to their AoO due to explosive ordnance contamination,yes
g74,Protection MA,"% of HHs where at least one member has received any information, education or training about the risk of explosive ordnance","% of HHs where at least one member has received any information, education or training about the risk of explosive ordnance",yes
f7,Durable solutions,% of HH who have received property compensation,% of HH who have received property compensation,yes
f7,Protection - HLP,% of HH who have received property compensation,% of HH who have received property compensation,yes
f7b,Durable solutions,% of HH with access/knowledge of complaint mechanisms,% of HH with access/knowledge of complaint mechanisms,yes
f7b,Protection - HLP,% of HH with access/knowledge of complaint mechanisms,% of HH with access/knowledge of complaint mechanisms,yes
d1_ii,AAP,Information needs and preferences from aid providers - what  ,Safety and security,yes
d1_iii,AAP,Information needs and preferences from aid providers - what  ,Status of housing,yes
d1_iv,AAP,Information needs and preferences from aid providers - what  ,Livelihoods,yes
d1_v,AAP,Information needs and preferences from aid providers - what  ,Water services,yes
d1_vi,AAP,Information needs and preferences from aid providers - what  ,Electricity services,yes
d1_vii,AAP,Information needs and preferences from aid providers - what  ,Education,yes
d1_viii,AAP,Information needs and preferences from aid providers - what  ,Healthcare,yes
d1_i,AAP,Information needs and preferences from aid providers - what  ,Humanitarian assistance,yes
d1_ix,AAP,Information needs and preferences from aid providers - what  ,Legal services,yes
d1_x,AAP,Information needs and preferences from aid providers - what  ,"House, land and property services",yes
d1_xi,AAP,Information needs and preferences from aid providers - what  ,"Explosive hazards clearance (mines, bombs, IEDs)",yes
d1_xii,AAP,Information needs and preferences from aid providers - what  ,Renewing official documentation,yes
d1_xiii,AAP,Information needs and preferences from aid providers - what  ,I do not want to receive information,yes
d2_ii,AAP,IDPs Information needs and preferences from aid providers - who/where,Friends and family living in the AoO,yes
d2_iii,AAP,IDPs Information needs and preferences from aid providers - who/where,Friends and family that visited the AoO in the past 30 days,yes
d2_iv,AAP,IDPs Information needs and preferences from aid providers - who/where,Friends and family that have not been in the AoO,yes
d2_v,AAP,IDPs Information needs and preferences from aid providers - who/where,Local authorities,yes
d2_vi,AAP,IDPs Information needs and preferences from aid providers - who/where,National authorities,yes
d2_i,AAP,IDPs Information needs and preferences from aid providers - who/where,NGO&humanitarian actors,yes
d2_vii,AAP,IDPs Information needs and preferences from aid providers - who/where,Religious leaders,yes
d2_viii,AAP,IDPs Information needs and preferences from aid providers - who/where,Mukhtars,yes
d2_ix,AAP,IDPs Information needs and preferences from aid providers - who/where,Sector leaders,yes
d2_x,AAP,IDPs Information needs and preferences from aid providers - who/where,Schools and community centres,yes
d3_ii,AAP,Information needs and preferences from aid providers - means,Direct observation,yes
d3_iii,AAP,Information needs and preferences from aid providers - means,Face-to-face communication (e.g. from friends),yes
d3_iv,AAP,Information needs and preferences from aid providers - means,Television,yes
d3_v,AAP,Information needs and preferences from aid providers - means,Telephone/mobile phone (Voice call),yes
d3_i,AAP,Information needs and preferences from aid providers - means,Mobile phone (text SMS),yes
d3_vi,AAP,Information needs and preferences from aid providers - means,Facebook (app),yes
d3_vii,AAP,Information needs and preferences from aid providers - means,Facebook (messenger),yes
d3_viii,AAP,Information needs and preferences from aid providers - means,Whatsapp,yes
d3_ix,AAP,Information needs and preferences from aid providers - means,Viber,yes
d3_x,AAP,Information needs and preferences from aid providers - means,"Other social networks (Skype, instagram, twitter)",yes
d3_xi,AAP,Information needs and preferences from aid providers - means,Notice boards and posters,yes
d3_xii,AAP,Information needs and preferences from aid providers - means,Newspapers and magazines,yes
d3_xiii,AAP,Information needs and preferences from aid providers - means,Printed leaflet,yes
d3_xiv,AAP,Information needs and preferences from aid providers - means,Loud speakers,yes
d3_xv,AAP,Information needs and preferences from aid providers - means,Radio,yes
d4,AAP,% HH reporting to have received aid in the past 30 days,% HH reporting to have received aid in the past 30 days,yes
d5_i,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Cash,yes
d5_ii,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Food,yes
d5_iii,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Water,yes
d5_iv,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Fuel,yes
d5_v,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Shelter,yes
d5_vi,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Seasonal items,yes
d5_vii,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Health services,yes
d5_viii,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Other non-food items,yes
d5_ix,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Education Services,yes
d5_x,AAP,% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days),Protection services (legal assistance; psycho-social support; GBV services; child protection services; explosive hazard risk education),yes
d6,AAP,% HH satsified with aid received (as a percentage of HHs that reported having received aid in the past 30 days),% HH satsified with aid received (as a percentage of HHs that reported having received aid in the past 30 days),yes
d7,AAP,% HH not satsified with quanitity (as a percentage of HHs that reported having received aid in the past 30 days),% HH not satsified with quanitity (as a percentage of HHs that reported having received aid in the past 30 days),yes
d10,AAP,% HH not satisifed with aid worker behavior (as a percentage of HHs that reported having received aid in the past 30 days),% HH not satisifed with aid worker behavior (as a percentage of HHs that reported having received aid in the past 30 days),yes
d12,AAP,% HH with acces/knowledge of complaint mechanisms (as a percentage of HHs that reported having received aid in the past 30 days),% HH with acces/knowledge of complaint mechanisms (as a percentage of HHs that reported having received aid in the past 30 days),yes
d15,AAP,% HH reporting needing more information about COVID-19 prevention measures,% HH reporting needing more information about COVID-19 prevention measures,yes
